Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2/kg,root.depth_m,RTD.g.cm3,SRL_m/g,rootDiam.mm,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,,,,
LINUM SUFFRUTICOSUM,19.9,0.4,,13.83721065,,,,,,,"Ayora Experimental Station, Middle Ebro Valley",Linaceae,SUBSHRUB,PERENNIAL,WOODY,,,,
LINUM SULCATUM,23.055,0.458,,17.12,,,,,,,Oklahoma (KAEFS-OK),Linaceae,FORB,ANNUAL,FORB,,,leafN from Craine et al. 2012 Plant Soil,height from Carmona et al. 2021 Sci Adv
LIRIODENDRON TULIPIFERA,25.35214926,46.30266667,16.73700827,28.13,0.8128,0.177367326,12.04094018,0.772647695,"RootC and N, RTD, SRL, Diam from groot",,Indiana University RTP,Magnoliaceae,TREE,PERENNIAL,WOODY,,,,
LITHODORA FRUTICOSA,,0.472222222,,5.35,0.68,,,,,,Ayora Experimental Station,Boraginaceae,SUBSHRUB,PERENNIAL,WOODY,,,height from Carmona et al. 2021 Sci Adv,
LITHOSPERMUM CANESCENS,18.9752,0.282,,14.43083537,,,,,,,"Brookdale, Cedar Creek Savanna",Boraginaceae,FORB,PERENNIAL,FORB,,,,
LITHOSPERMUM INCISUM,26.9,0.2176,,12.77,3.03,,,,depth from groot,,"BFL, Cedar Point - Drought-Net, Mattheis",Boraginaceae,FORB,PERENNIAL,FORB,,,,
LOESELIASTRUM SCHOTTII,,,,,,,,,,,NNSS_Mojave,Polemoniaceae,FORB,ANNUAL,FORB,,,,
LOGFIA ARIZONICA,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank",Compositae,FORB,ANNUAL,FORB,,,,
LOLIUM PERENNE,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"LeafN, height, SLA from PI","RTD, SRL from groot","Bad Drought, Bayreuth_DroughtNet, Jena, SantaCruzLow, SantaCruzMiddle, Validate",Poaceae,GRASS,"PERENNIAL, ANNUAL (SantaCruzLow, SantaCruzMiddle)",GRASS,,,,
LOMANDRA JUNCEA,,,,,0.19,,,,,,Jilpanger,Laxmanniaceae,FORB,PERENNIAL,FORB,,,,
LOMANDRA NANA,,0.17,,5.237313,,,,,,,Jilpanger,Laxmanniaceae,FORB,PERENNIAL,FORB,,,,
LOMATIUM NUDICAULE,,0.1257,,13.2,,,,,,,Cowichan Drt,Apiaceae,FORB,PERENNIAL,FORB,,,,
LOMATIUM UTRICULATUM,25,,,,,,,,,,Cowichan Drt,Apiaceae,FORB,PERENNIAL,FORB,,,leafN from Komastu et al. 2023 EDI,
LOTUS CORNICULATUS,32.37274407,0.357339206,21.21401,21.71513633,0.3556,0.12871093,104.3277979,0.351194598,"RootC, RTD, SRL, Diam from groot",,"Allmend Brachy, Allmend Ovina, Bayreuth_DroughtNet, ESW, Lygra_intermediate, Pineta, Purdue Wildlife Area, Rhijnauwen, Yarramundi Drt",Fabaceae,FORB,PERENNIAL,LEGUME,,,,
LOTUS GLABER,,0.75,,25.91,,,,0.71,SLA and Rdiam from Julie Larson for Lotus tenuis (synonym),,Las Chilcas Drt,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
LUPINUS ARGENTEUS,46.278,0.3955,28.5,15.91270952,0.1524,0.24348977,12.8732,1.33,"RootC and N, SRL, from groot, SLA and Rdiam from Julie Larson",,Hardware Ranch,Fabaceae,FORB,PERENNIAL,LEGUME,,,,
LUPINUS CONCINNUS,,,,,,,,,,,"Gmdrc Granitecove, Gmdrc Molar Junction",Fabaceae,LEGUME,ANNUAL,LEGUME,,,,
LUPINUS SPARSIFLORUS,,,,,,,,,,,Cap Whitetank,Fabaceae,LEGUME,ANNUAL,LEGUME,,,,
LUZULA CAMPESTRIS,16.58961309,0.205,,23.94844812,0.21,0.333333333,551.1830025,0.145733333,"RTD, SRL, Diam from groot",,Bayreuth_DroughtNet,Juncaceae,GRASS,PERENNIAL,GRAMINOID,,,"leafN from Gubsch M, Buchmann N, Schmid B, Schulze E-D, Lipowsky A, Roscher C (2011) Differential effects of plant diversity on functional trait variation of grass species. Annals of Botany 107, 157-169.",
LUZULA CHILENSIS,11.42,0.064,,,,,,,,,Potrok Aike Drt,Juncaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,"leafN, height from Carmona et al. 2021 Sci Adv",
LUZULA MULTIFLORA,25.54618746,0.2110425,5.237476541,25.53913437,,,132.06,,"RootC and N, SRL from groot",,"EE Elva, Lygra_intermediate, Lygra_old, Rhijnauwen",Juncaceae,GRASS,PERENNIAL,GRAMINOID,,,,
LUZULA PILOSA,16.9625,0.225,12.5,25.5,,,565.6,0.21,,,Lygra_intermediate,Juncaceae,GRAMINOID,NULL,GRAMINOID,,,,
LUZULA SPICATA,22.59228887,0.24812,,13.42568753,0.254,,152.8099999,0.22,SRL from groot,,Passo Gavia,Juncaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
LYCIUM PALLIDUM,26.13809524,2.1336,,11.3,0.3048,,,,,,NNSS_Mojave,Solanaceae,SHRUB,PERENNIAL,WOODY,,,,
LYCOPODIUM ALPINUM,,,,,,,,,,,Passo Gavia,Lycopodiaceae,CLUBMOSS,PERENNIAL,FORB,,,,
LYGODESMIA JUNCEA,,,,,3.709333333,,,,depth from groot,,"Biddulph, Cedar Point - Drought-Net",Compositae,FORB,PERENNIAL,FORB,,,,
LYSIMACHIA EUROPAEA,32.8,0.09,,51,,,,,,,Lygra_intermediate,Primulaceae,FORB,NULL,FORB,,,,
LYSIMACHIA NUMMULARIA,17.1,0.5,,30.86299914,0.32,,,,,,Rhijnauwen,Primulaceae,FORB,PERENNIAL,FORB,,,,
LYTHRUM HYSSOPIFOLIA,,0.305833333,,24.09,,,,,,,SantaCruzHigh,Lythraceae,FORB,ANNUAL,FORB,,,,
MACHAERANTHERA PINNATIFIDA,,,,14.18259087,1.335,,9.58714,0.248,"SLA, RTD, fineRTD,SLA, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,"Cedar Point - Drought-Net, Sevilleta_Black, Sevilleta_Mixed",Compositae,FORB,PERENNIAL,FORB,,,,
MAIREANA CARNOSA,,0.3,,,,,,,,,"CredoJ, CredoM",Amaranthaceae,SHRUB,PERENNIAL,WOODY,,,,
MAIREANA PYRAMIDATA,27.8895,1.24,,3.695186729,,,,,,,"Broken Hill, Milparinka",Amaranthaceae,SHRUB,PERENNIAL,WOODY,,,,
MAIREANA SEDIFOLIA,39.14135,1.3,,4.952222222,,,,,,,"CredoJ, CredoM",Amaranthaceae,SHRUB,PERENNIAL,WOODY,,,,
MAIREANA TRICHOPTERA,,0.5,,,,,,,,,"CredoJ, CredoM",Amaranthaceae,SHRUB,PERENNIAL,WOODY,,,,
MALACOTHRIX GLABRATA,,,,,,,,,,,"Gmdrc Molar Junction, NNSS_Mojave",Compositae,FORB,ANNUAL,FORB,,,,
MARSDENIA AUSTRALIS,,,,5.8,,,,,,,CredoM,Apocynaceae,VINE,PERENNIAL,FORB,,,,
MEDICAGO LUPULINA,32.94,0.112,26.12778969,21.96,0.3048,0.105696982,180.1564169,0.281707971,"LeafN, height, SLA from PI","RootC and N, RTD, SRL, Diam from groot","Allmend Brachy, Allmend Ovina, Bad Drought, EE Elva, ESW, Jena, Mar Chiquita Drt, SantaCruzHigh",Fabaceae,FORB,BIENNIAL,LEGUME,,,,
MEDICAGO MINIMA,36.2,0.1701,33.34666667,24.66638889,0.22,0.0815,211.5066667,0.3834,"RootC and N, RTD, SRL, Diam from groot",,"Chacra Experimental Patagones, CredoJ, CredoM, Kiskunsag",Fabaceae,LEGUME,ANNUAL,LEGUME,,,,
MELICA SUBULATA,,1.00584,,,0.3048,,,,,,Cowichan Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
MELICYTUS DENTATUS,,3,,25.06241344,,,,,,,Falls Creek,Violaceae,SHRUB,PERENNIAL,WOODY,,,,
MELILOTUS OFFICINALIS,58.3,1.5,3.75,19.375,1.16,0.12,100,0.29,"RootC and N, RTD, SRL, Diam from groot",,"Changling, Mar Chiquita Drt",Fabaceae,GRASS,BIENNIAL,LEGUME,,,,
MENTZELIA ASPERA,,,,,,,,,,,"Gmdrc Molar Junction, NNSS_Mojave",Loasaceae,FORB,ANNUAL,FORB,,,,
MENTZELIA MONTANA,,,,,,,,,,,Antelope,Loasaceae,FORB,ANNUAL,FORB,,,,
MICROSERIS LANCEOLATA,,0.4,,11.380814,,,,,,,Falls Creek,Compositae,FORB,PERENNIAL,FORB,,,,
MICROSERIS SCAPIGERA,,0.36,,35.23,,,,,,,Jilpanger,Compositae,FORB,PERENNIAL,FORB,,,,
MICROSTACHYS CORNICULATA,,,,5.8,,,,,,,Guaribas,Euphorbiaceae,SUBSHRUB,PERENNIAL,WOODY,,,,
MILLOTIA MUELLERI,,0.03,,,,,,,,,Jilpanger,Compositae,FORB,ANNUAL,FORB,,,,
MILLOTIA TENUIFOLIA,,0.12,,36.253385,,,,,,,Jilpanger,Compositae,FORB,ANNUAL,FORB,,,,
MIMOSA NUTTALLII,,,,,,,,,,,Konza Drt,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
MINUARTIA GLOMERATA,,,,11.1936,,,,,,,Kiskunsag,Caryophyllaceae,FORB,ANNUAL,FORB,,,,
MOLINIA CAERULEA,19.7245873,0.699125,8.366751778,17.87260174,0.8,,56.8752851,0.269333333,"RootC and N ,depth,SRL, Diam from groot",,"Lygra_intermediate, Lygra_old",Poaceae,GRASS,NULL,GRASS,,,,
MONARDA FISTULOSA,11.29051118,0.662,17.87547,26.21085308,0.1016,0.27,93.37285277,0.28925,"RootN, RTD, SRL, Diam from groot",,Cedar Creek Trait,Lamiaceae,FORB,PERENNIAL,FORB,,,,
MONARDA PUNCTATA,13.2,0.4265,,18.95202815,,,,,,,SLP,Lamiaceae,FORB,ANNUAL,FORB,,,,
MONOPTILON BELLIDIFORME,,,,,,,,,,,NNSS_Mojave,Compositae,FORB,ANNUAL,FORB,,,,
MONOPTILON BELLIOIDES,,,,,0.07,,,,,,Cap Whitetank,Compositae,FORB,ANNUAL,FORB,,,,
MORELLA CERIFERA,17.8625,5.823692308,12.65043574,16.30496347,0.508,0.136588343,42.07931829,0.313333333,"RootC and N, RTD, SRL, Diam from groot",,Sandhills,Myricaceae,SHRUB,PERENNIAL,WOODY,,,leafN from Komastu et al. 2023 EDI,
MUHLENBERGIA ARENICOLA,,,,14.31621017,,,139.5016,0.034,"SLA, RTD, fineRTD,SLA, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",,Sevilleta_Black,Poaceae,GRASS,PERENNIAL,GRASS,,,,
MUHLENBERGIA RACEMOSA,31.043,0.684,,31.89085821,0.065,,71.52399084,,SRL from groot,,Cedar Creek Savanna,Poaceae,GRASS,PERENNIAL,GRASS,,,,
MUHLENBERGIA RICHARDSONIS,20.5218701,0.1524,,13.97,0.1524,,,,,,Kernen_burned,Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
MYOSOTIS STRICTA,,0.136666667,,21.00716667,,,,,,,Kiskunsag,Boraginaceae,FORB,ANNUAL,FORB,,,,
NAMA ARETIOIDES,,,,,,,,,,,NNSS_Mojave,Boraginaceae,FORB,ANNUAL,FORB,,,,
NARDOPHYLLUM BRYOIDES,7.7,0.09,4.333333333,,,,,,RootN from groot,,Potrok Aike Drt,Compositae,SHRUB,PERENNIAL,WOODY,,,"leafN, height from Carmona et al. 2021 Sci Adv",
NARTHECIUM OSSIFRAGUM,24.7,0.2325,,24.15,0.22,,,,,,Lygra_old,Nartheciaceae,FORB,NULL,FORB,,,,
NASSAUVIA ACULEATA,,,,,,,,,,,Potrok Aike Drt,Compositae,FORB,PERENNIAL,FORB,,,,
NASSAUVIA DARWINII,,,,,,,,,,,Potrok Aike Drt,Compositae,FORB,PERENNIAL,FORB,,,,
NASSELLA LONGIGLUMIS,35.04,,,,,,,,,,Chacra Experimental Patagones,Poaceae,GRASS,PERENNIAL,GRASS,,,,
NASSELLA NEESIANA,14.2304221,0.8,,16,,,,,,,Naposta,Poaceae,GRASS,PERENNIAL,GRASS,,,,
NASSELLA TENUIS,,,,,0.5,,,,,,"Chacra Experimental Patagones, Monte Oriental, San Pablo Valdes Drt",Poaceae,GRASS,PERENNIAL,GRASS,,,,
NASSELLA TRICHOTOMA,,0.7,,11.297312,,,,0.77666667,,,Naposta,Poaceae,GRASS,PERENNIAL,GRASS,,,,
NASSELLA VIRIDULA,12.6088734,0.6096,,10.77,0.3556,0.517363388,54.89286067,0.23675,"RTD, SRL, Diam from groot",,"Kernen_unburned, Matador",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
NAVARRETIA INTERTEXTA SSP. PROPINQUA,,,,,,,,,,,"ORE IDE AA, ORE IDE AC",Polemoniaceae,FORB,ANNUAL,FORB,,,,
NEOTTIA OVATA,,0.32,,30.18571429,,,,,,,Pineta,Orchidaceae,FORB,NULL,FORB,,,,
NEPTUNIA LUTEA,,,,,,,,,,,SLP,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
NEURACHNE ALOPECUROIDEA,,0.5,,7.6793,,,,,,,Jilpanger,Poaceae,GRASS,PERENNIAL,GRASS,,,,
NOTHOCALAIS TROXIMOIDES,,,,,,,,,,,ORE IDE AA,Compositae,FORB,PERENNIAL,FORB,,,,
NOTICASTRUM SERICEUM,30.175,,,36.99,,,,,,,"Chacra Experimental Patagones, San Pablo Valdes Drt",Compositae,FORB,PERENNIAL,FORB,,,,
OLDENLANDIA PTEROSPORA,,0.25,,,,,,,,,Ethabuka_DNB,Rubiaceae,FORB,ANNUAL,FORB,,,,
ONONIS MINUTISSIMA,,0.23125,,,,,,,,,Ayora Experimental Station,Fabaceae,SUBSHRUB,PERENNIAL,LEGUME,,,leafN from Carmona et al. 2021 Sci Adv,
OPUNTIA PHAEACANTHA,,,,,,,,,,,Sevilleta_Black,Cactaceae,SUCCULENT,PERENNIAL,CACTUS,,,,
OPUNTIA POLYACANTHA,,0.6096,,,0.3048,,,,,,"Cedar Point - Drought-Net, North Platte",Cactaceae,SUCCULENT,PERENNIAL,FORB,,,,
OREOCHLOA DISTICHA,22,0.115,,9.2,,,,,,,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS,,,,
ORTHOCARPUS TOLMIEI,,,,,,,,,,,Hardware Ranch,Scrophulariaceae,FORB,ANNUAL,FORB,,,,
OTTLEYA STRIGOSA,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank",Fabaceae,LEGUME,ANNUAL,LEGUME,,,,
OXALIS ACETOSELLA,28.21760537,0.104166667,5.86667,64.32508321,,,,0.1,,,Pineta,Oxalidaceae,FORB,NULL,FORB,,,,
OXALIS CONORRHIZA,,0.1176,,42.67,,,,,,,"Las Chilcas Drt, EEA, Naposta, SantaCruzHigh, Ukulinga Drought, Yarramundi Drt",Oxalidaceae,FORB,"PERENNIAL, ANNUAL (Yarramundi Drt)",FORB,,,,
OXALIS DILLENII,36.94,0.188478161,,41.82566697,,,,,,,"BFL, SLP",Oxalidaceae,FORB,PERENNIAL,FORB,,,leafN from Craine et al. 2012 Plant Soil,
OXALIS ENNEAPHYLLA,,,,,,,,,,,Potrok Aike Drt,Oxalidaceae,FORB,PERENNIAL,FORB,,,,
OXALIS STRICTA,23.5,0.4,,57.7,,,,,,,"Bivens Arm, Konza Drt, Oklahoma (KAEFS-OK)",Oxalidaceae,FORB,PERENNIAL,FORB,,,,
OXYTHECA PERFOLIATA,,,,,,,,,,,NNSS_Mojave,Polygonaceae,FORB,ANNUAL,FORB,,,,
PACKERA CANA,,0.4572,,6.036472348,0.3048,,,,,,"CMSS, ORE IDE AA",Compositae,FORB,PERENNIAL,FORB,,,SLA from Carmona et al. 2021 Sci Adv,
PANICUM ACUMINATUM,17.50836364,0.238666667,,21.67056595,,,180.896992,,,,"Cedar Creek Savanna, Cedar Creek Trait , Sandhills, SantaCruzHigh",Poaceae,GRASS,PERENNIAL,GRASS,,,"SRL from Tucker SS, Craine JM, Nippert JB (2011) Physiological drought tolerance and the structuring of tallgrass assemblages. Ecosphere 2(4): 48",
PANICUM BERGII,,,,,,,,,,,Las Chilcas Drt,Poaceae,NULL,NULL,GRASS,,,,
PANICUM BRACHYANTHUM,,,,,,,,,,,SLP,Poaceae,GRASS,ANNUAL,GRASS,,,,
PANICUM CAPILLARE,17.0314031,0.43545,,27.43942379,0.62,0.14,218,0.1917,"RTD, SRL, Diam from groot",,Konza Drt,Poaceae,GRASS,ANNUAL,GRASS,,,,
PANICUM COMMUTATUM,,1.49352,,,,,,,,,Sandhills,Poaceae,GRASS,PERENNIAL,GRASS,,,,
PANICUM GOUINII,,,,,,,,,,,Las Chilcas Drt,Poaceae,NULL,NULL,GRASS,,,,
PANICUM HIRTICAULE,,,,,,,,,,,Jornada_LTER Drt,Poaceae,GRASS,ANNUAL,GRASS,,,,
PANICUM OLIGOSANTHES,17.37461517,0.38,,22.63325572,,,,,,,"Cedar Creek Savanna, Cedar Creek Trait ",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PANICUM SABULORUM,,0.258884374,,24,,,,,,,"Las Chilcas Drt, EEA",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PANICUM URVILLEANUM,,,,,,,,,,,San Pablo Valdes Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
PANICUM VIRGATUM,13.38217228,0.926,7.8,29.26984617,0.075,0.32898758,120.510799,0.39,"RTD, SRL from groot",,"Cedar Creek Savanna, Cedar Creek Trait, Konza Drt, Oklahoma (KAEFS-OK)",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PAPPOPHORUM CAESPITOSUM,20.7,0.42,,10.705,,,,,,,Naposta,Poaceae,GRASS,PERENNIAL,GRASS,,,,
PAPPOPHORUM KRAPOVICKASII,,,,,,,,,,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,,,,
PAPPOPHORUM MUCRONULATUM,,,,,,,,,,,"Chacra Experimental Patagones, Monte Oriental",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PAPPOSTIPA SPECIOSA,,0.6096,,4.202740187,0.254,,,,,,"Monte Oriental, San Pablo Valdes Drt",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PARTHENIUM INTEGRIFOLIUM,15.3,0.7746,,10.84,1.8,,,,depth from groot,,Sandhills,Compositae,FORB,PERENNIAL,FORB,,,,
PASCOPYRUM SMITHII,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"RootC and N, RTD , Diam from groot, SLA from Julie Larson",,"Kernen_burned, Kernen_unburned, Kinsella, Matador, Mattheis",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
PASPALIDIUM CLEMENTII,6.25,0.4,,,,,,,,,"CredoJ, CredoM",Poaceae,GRASS,ANNUAL,GRASS,,,,
PASPALIDIUM PALUDIVAGUM,,,,,,,,,,,Las Chilcas Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
PASPALUM DILATATUM,17.4533552,0.4722,8.133333333,16.30478,0.1524,0.102,18.37,,"RootN, RTD, SRL, from groot",,"Las Chilcas Drt, San Claudio",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PASPALUM GARDNERIANUM,,,,,,,,,,,Guaribas,Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
PASPALUM QUADRIFARIUM,10,2,,2.825,,,,,,,San Claudio,Poaceae,GRASS,PERENNIAL,GRASS,,,,
PASPALUM SETACEUM,,,,,1.16,,,,,,"BFL, Bivens Arm, Oklahoma (KAEFS-OK)",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PASPALUM VAGINATUM,3.6045301,0.03048,15.6,10.41,0.1524,,,,,,Las Chilcas Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
PAVONIA CYMBALARIA,,,,,,,,,,,Naposta,Malvaceae,SHRUB,PERENNIAL,WOODY,,,,
PECTOCARYA HETEROCARPA,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Granitecove, Gmdrc Molar Junction",Boraginaceae,FORB,ANNUAL,FORB,,,,
PECTOCARYA LINEARIS,,,,,,,,,,,San Pablo Valdes Drt,Boraginaceae,FORB,ANNUAL,FORB,,,,
PECTOCARYA PLATYCARPA,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Granitecove, Gmdrc Molar Junction",Boraginaceae,FORB,ANNUAL,FORB,,,,
PECTOCARYA RECURVATA,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Granitecove, Gmdrc Molar Junction, NNSS_Mojave",Boraginaceae,FORB,ANNUAL,FORB,,,,
PECTOCARYA SETOSA,,,,,,,,,,,Gmdrc Molar Junction,Boraginaceae,FORB,ANNUAL,FORB,,,,
PEDICULARIS SYLVATICA,38.59,0.161666667,24.01,11.55,,,,,RootN from groot,,Lygra_intermediate,Scrophulariaceae,FORB,NULL,FORB,,,"leafN from Milla & Reich 2011 Annals of Botany 107: 455–465, 2011.",
PELARGONIUM RODNEYANUM,,0.4,,16.370301,,,,,,,Jilpanger,Geraniaceae,FORB,PERENNIAL,FORB,,,,
PENSTEMON ALBIDUS,16.68,0.13425,,9.692319451,,,,,,,Cedar Point - Drought-Net,Scrophulariaceae,GRASS,PERENNIAL,FORB,,,,
PENSTEMON GRACILIS,,,,,,,,,,,Cedar Creek Savanna,Scrophulariaceae,FORB,PERENNIAL,FORB,,,,
PENTANISIA ANGUSTIFOLIA,,,,,,,,,,,Ukulinga Drought,Rubiaceae,FORB,PERENNIAL,FORB,,,,
PERAMA HIRSUTA,,,,,,,,,,,Guaribas,Rubiaceae,FORB,ANNUAL,FORB,,,,
PEREZIA RECURVATA,,,,,0.35,,,,,,Potrok Aike Drt,Compositae,FORB,PERENNIAL,FORB,,,,
PERIDERIDIA OREGANA,,,,,,,,,,,"ORE IDE AA, ORE IDE AC",Apiaceae,FORB,PERENNIAL,FORB,,,,
PERSICARIA VIVIPARA,21.5,0.283,,22,,,,,,,Passo Gavia,Polygonaceae,FORB,PERENNIAL,FORB,,,,
PETALOSTEMON CANDIDUS,,0.544,,,1.7018,,,,depth from groot,,Cedar Creek Trait,Fabaceae,FORB,PERENNIAL,LEGUME,,,,
PETALOSTEMON PURPUREUS,,0.688,,,1.9812,,,,depth from groot,,Cedar Creek Trait,Fabaceae,FORB,PERENNIAL,LEGUME,,,,
PHALARIS ARUNDINACEA,27.64461715,1.564054762,,21.45431499,0.3556,0.181670595,159.3597052,0.252341667,"RTD, SRL, Diam from groot",,Teshio Experimental Grassland,Poaceae,GRASS,PERENNIAL,GRASS,,,,
PHALARIS CAROLINIANA,,,,,,,,,,,SLP,Poaceae,GRASS,ANNUAL,GRASS,,,,
PHEBALIUM SQUAMULOSUM,17.6,1.375,,4.958314675,,,,,,,Falls Creek,Rutaceae,SHRUB,PERENNIAL,WOODY,,,,
PHLEUM ALPINUM,24.71901341,0.19724,9.103855654,20.58967646,0.254,,73.35000002,0.25,"RootC and N, SRL from groot",,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS,,,,
PHLEUM PRATENSE,18.59699785,0.844195238,9.9,23.72403526,0.254,0.155576899,393.5587203,0.133333333,"RTD, SRL from groot",,"Bayreuth_DroughtNet, EE Elva, Rhijnauwen",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PHLOX HOODII,23.27,0.02825,,13.95070877,0.54,0.180454545,107.0545926,0.2647,"depth, RTD, SRL, Diam from groot",,"Biddulph, Matador, ORE IDE AA",Polemoniaceae,FORB,PERENNIAL,FORB,,,,
PHLOX MULTIFLORA,,,,,,,,,,,CMSS,Polemoniaceae,FORB,PERENNIAL,FORB,,,,
PHRAGMITES AUSTRALIS,25.29984195,2.600709333,13.1,13.81737428,0.508,0.126872908,322.7959115,0.18602,"RootC, RTD, SRL, Diam from groot",,"Changling, Teshio Experimental Grassland",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PHYLA CANESCENS,,,,,,,,,,,Las Chilcas Drt,Verbenaceae,NULL,NULL,FORB,,,,
PHYLA NODIFLORA,,0.06096,,,0.1524,,,,,,Mar Chiquita Drt,Verbenaceae,FORB,PERENNIAL,FORB,,,,
PHYLLANTHUS POLYGONOIDES,,,,,,,,,,,BFL,Phyllanthaceae,FORB,PERENNIAL,FORB,,,,
PHYSALIS HEDERIFOLIA,19.19,,,20.70393375,,,,,,,JRN_Chihuahuan,Solanaceae,FORB,ANNUAL,FORB,,,"leafN, SLA from Carmona et al. 2021 Sci Adv",
PHYSARIA GORDONII,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank",Brassicaceae,FORB,ANNUAL,FORB,,,,
PHYTEUMA HEMISPHAERICUM,27,0.1,,19.5,,,,,,,Passo Gavia,Campanulaceae,FORB,PERENNIAL,FORB,,,,
PICEA ABIES,13.01773524,32.57365602,8.231665,5.074959129,0.7112,0.289806897,16.43077549,0.727774529,"RTD, SRL, diam from groot",,Kranzberg,Pinaceae,TREE,PERENNIAL,WOODY,,,,
PICRIS HIERACIOIDES,24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832,"LeafN, height, SLA from PI","RootC and N, RTD, SRL, Diam from groot","Bad Drought, Jena",Compositae,FORB,PERENNIAL,FORB,,,,
PILOSELLA AURANTIACA,14.23505,0.358333333,,29.759314,,,,,,,"Bayreuth_DroughtNet, Teshio Experimental Grassland",Compositae,FORB,PERENNIAL,FORB,,,,
PILOSELLA PILOSELLOIDES,12.76308667,0.455,,27.17333333,,0.187679414,13.38170314,,"RTD, SRL from groot",,Bayreuth_DroughtNet,Compositae,FORB,PERENNIAL,FORB,,,"leafN from Cerabolini B.E.L., Brusa G., Ceriani R.M., De Andreis R., Luzzaro A. & Pierce S. 2010. Can CSR classification be generally applied outside Britain? Plant Ecology 210: 253-261",
PIMELEA ALPINA,,0.3,,10.434151,,,,,,,Falls Creek,Thymelaeaceae,SHRUB,PERENNIAL,WOODY,,,,
PIMELEA HUMILIS,,0.5,,22.44,,,,,,,Jilpanger,Thymelaeaceae,SHRUB,PERENNIAL,WOODY,,,,
PIMPINELLA SAXIFRAGA,21.22166667,0.445,3.322678571,21.46439541,2.42685,0.315348446,149.6596103,0.228622222,"RootC and N, RTD, SRL, diam from groot",,"Allmend Brachy, Allmend Ovina, Pineta",Apiaceae,FORB,PERENNIAL,FORB,,,,
PINUS HALEPENSIS,13.51749374,20.83333333,11.83333333,8.860462216,,,,,RootN from groot,,Ayora Experimental Station,Pinaceae,TREE,PERENNIAL,WOODY,,,,
PINUS PALUSTRIS,10.6,23.39466667,8.497036038,4.492397729,1.016,,13.76,0.71,"RootN, SRL, Diam from groot",,"Bivens Arm, Sandhills",Pinaceae,TREE,PERENNIAL,WOODY,,,,
PIPTOCHAETIUM NAPOSTAENSE,,,,,0.6,,,,depth from groot,,"Monte Oriental, San Pablo Valdes Drt",Poaceae,GRASS,PERENNIAL,GRASS,,,,
PITYOPSIS ASPERA,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,,,,
PLAGIOBOTHRYS ARIZONICUS,,,,,,,,,,,"Cap Mcdowell, Gmdrc Granitecove, Gmdrc Molar Junction",Boraginaceae,FORB,ANNUAL,FORB,,,,
PLAGIOTHECIUM UNDULATUM,,,,,,,,,,,"Lygra_intermediate, Lygra_old",Plagiotheciaceae,FORB,NULL,FORB,,,,
