,Species,leafN.mg.g,Height.m,rootN.mg.g,SLA.mg.g,Root.depth.m,SRL.fine.cm.g,root.diam.mm,SLA.no.petiole.mm2.mg,SLA.unknown.petiole.mm2.mg,SLA.petiole.mm2.mg
10832,Silene otites,NA,0.445833333,NA,12.96333333,NA,NA,NA,13.47,NA,12.45666667
10833,Silene persica,NA,0.387,NA,20.53497942,NA,NA,NA,20.53497942,NA,NA
10834,Silene rubella,NA,0.455,NA,32.05,NA,NA,NA,NA,NA,32.05
10835,Silene saxatilis,28.44759668,NA,NA,21.28933503,NA,NA,NA,21.28933503,NA,NA
10836,Silene sp,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
10837,Silene tatarica,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA
10838,Silene uniflora,41.06130875,0.3,40.54128667,22.89985598,NA,NA,NA,20.2,NA,25.59971195
10839,Silene uralensis,27.585,NA,12.5,NA,NA,NA,NA,NA,NA,NA
10840,Silene viscosa,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA
10841,Silene vulgaris,27.69299517,0.39446,NA,22.08587726,NA,NA,NA,19.72448837,18.85,27.68314342
10842,Silphiodaucus prutenicus,NA,0.34,NA,13.61,NA,NA,NA,NA,NA,13.61
10843,Silphium laciniatum,22,0.502,NA,3.884735622,NA,NA,NA,3.884735622,NA,NA
10844,Silphium nutans,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA
10845,Silphium perfoliatum,NA,2.1336,NA,NA,NA,NA,NA,NA,NA,NA
10846,Silphium terebinthinaceum,NA,0.331333333,NA,4.389626927,NA,NA,NA,4.389626927,NA,NA
10847,Silybum marianum,NA,1.175,NA,NA,NA,NA,NA,NA,NA,NA
10848,Simaba guianensis,18.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
10849,Simaba polyphylla,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
10850,Simarouba amara,17.78846941,31.276338,NA,13.2658559,NA,NA,NA,18.95296652,6.799497074,14.0451041
10851,Simira cordifolia,25.973695,NA,NA,18.32589387,NA,NA,NA,NA,18.32589387,NA
10852,Simmondsia chinensis,NA,2.1336,NA,NA,0.3048,NA,NA,NA,NA,NA
10853,Sinapis alba,NA,0.57,NA,20.76833333,NA,NA,NA,14.6,NA,26.93666667
10854,Sinapis arvensis,NA,0.566666667,NA,44.18833333,NA,NA,NA,28.65,59.72666667,NA
10855,Sinapis incana,NA,0.865833333,NA,23.74333333,NA,NA,NA,25.9,NA,21.58666667
10856,Sindora echinocalyx,NA,NA,NA,20.17674664,NA,NA,NA,NA,20.17674664,NA
10857,Siparuna decipiens,16.87988,16,NA,9.610342398,NA,NA,NA,NA,9.610342398,NA
10858,Siparuna guianensis,28.65519542,10.17166667,NA,19.11139595,NA,NA,NA,19.57579782,NA,18.64699407
10859,Siparuna pauciflora,24.3148303,7.74,NA,17.73599152,NA,NA,NA,18.26398687,NA,17.20799616
10860,Siparuna sp,23.00215591,NA,NA,12.34549858,NA,NA,NA,NA,12.34549858,NA
10861,Siphonodon celastrineus,NA,NA,NA,9.5,NA,NA,NA,NA,9.5,NA
10862,Sison amomum,NA,0.625,NA,22.7,NA,NA,NA,22.7,NA,NA
10863,Sisymbrium altissimum,NA,0.7195,NA,21.39,NA,NA,NA,20.8,NA,21.98
10864,Sisymbrium austriacum,NA,0.525,NA,NA,NA,NA,NA,NA,NA,NA
10865,Sisymbrium erysimoides,NA,0.6,NA,26.15,NA,NA,NA,NA,NA,26.15
10866,Sisymbrium irio,NA,0.3875,NA,NA,NA,NA,NA,NA,NA,NA
10867,Sisymbrium loeselii,NA,0.630714286,NA,17.50354167,NA,NA,NA,20.78375,NA,14.22333333
10868,Sisymbrium officinale,NA,0.583333333,NA,26.71666667,NA,NA,NA,26.71666667,NA,NA
10869,Sisymbrium orientale,NA,0.863888889,NA,22.325,NA,NA,NA,22.325,NA,NA
10870,Sisymbrium strictissimum,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA
10871,Sisymbrium volgense,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA
10872,Sisyrinchium albidum,NA,0.232,NA,20.41096378,NA,NA,NA,20.41096378,NA,NA
10873,Sisyrinchium angustifolium,NA,0.6096,NA,NA,0.1016,NA,NA,NA,NA,NA
10874,Sisyrinchium bermudiana,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
10875,Sisyrinchium campestre,12.11333333,NA,NA,11.59588118,NA,NA,NA,NA,NA,11.59588118
10876,Sisyrinchium idahoense,NA,0.51816,NA,NA,0.2032,NA,NA,NA,NA,NA
10877,Sisyrinchium montanum,NA,0.225,NA,NA,NA,NA,NA,NA,NA,NA
10878,Sisyrinchium palmifolium,NA,0.342115385,NA,NA,NA,NA,NA,NA,NA,NA
10879,Sisyrinchium pendulum,NA,0.268,NA,20.21907619,NA,NA,NA,20.21907619,NA,NA
10880,Sisyrinchium scariosum,NA,0.212222222,NA,NA,NA,NA,NA,NA,NA,NA
10881,Sisyrinchium sp,NA,0.22,NA,18.38223116,NA,NA,NA,NA,NA,18.38223116
10882,Sisyrinchium unguiculatum,NA,NA,NA,10.88011401,NA,NA,NA,NA,NA,10.88011401
10883,Sisyrinchium vaginatum,NA,0.402265625,NA,NA,NA,NA,NA,NA,NA,NA
10884,Sium latifolium,NA,1.30625,NA,43.59160595,NA,NA,NA,51.91833333,NA,35.26487858
10885,Sium suave,23.8,NA,NA,17.16738197,NA,NA,NA,17.16738197,NA,NA
10886,Sixalix atropurpurea,NA,0.454,NA,12.92166667,NA,NA,NA,12.225,11.4,15.14
10887,Skimmia reevesiana,NA,NA,NA,13.33333333,NA,NA,NA,NA,13.33333333,NA
10888,Sloanea australis,NA,4.5,NA,17.99043758,NA,NA,NA,NA,17.99043758,17.99043758
10889,Sloanea berteroana,12.775,38.1,3.84444,NA,0.9144,NA,NA,NA,NA,NA
10890,Sloanea eichleri,16.975721,23.33333333,NA,11.95646872,NA,NA,NA,NA,11.95646872,NA
10891,Sloanea floribunda,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
10892,Sloanea garckeana,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
10893,Sloanea guianensis,14.60625,13.875,NA,9.146458917,NA,NA,NA,9.146458917,NA,NA
10894,Sloanea laxiflora,20.99165,25,NA,13.66500429,NA,NA,NA,NA,13.66500429,NA
10895,Sloanea pubescens,13.25758333,NA,NA,11.0187993,NA,NA,NA,NA,11.0187993,NA
10896,Sloanea pulleniana,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
10897,Sloanea sp,16.41845167,NA,NA,10.65468214,NA,NA,NA,NA,10.65468214,NA
10898,Sloanea stipitata,16.47248,NA,NA,11.51155592,NA,NA,NA,NA,11.51155592,NA
10899,Sloanea terniflora,14.58358705,34.12855734,NA,13.57698649,NA,NA,NA,13.90135279,NA,13.25262018
10900,Smelowskia annua,NA,NA,NA,12.59445844,NA,NA,NA,12.59445844,NA,NA
10901,Smelowskia calycina,NA,NA,NA,24.44987775,NA,NA,NA,24.44987775,NA,NA
10902,Smilax aspera,7.9,15,NA,NA,NA,NA,NA,NA,NA,NA
10903,Smilax australis,NA,1.733333333,NA,11.27727798,NA,NA,NA,NA,11.27727798,11.27727798
10904,Smilax bona-nox,NA,1.2192,NA,NA,0.3048,NA,NA,NA,NA,NA
10905,Smilax campestris,NA,0.276666667,NA,NA,NA,NA,NA,NA,NA,NA
10906,Smilax glauca,NA,0.3048,NA,12.5665,0.3048,NA,NA,NA,12.5665,NA
10907,Smilax glyciphylla,NA,0.4875,NA,19.00165993,NA,NA,NA,NA,19.00165993,19.00165993
10908,Smilax herbacea,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
10909,Smilax lasioneura,NA,0.84,NA,32.07865169,NA,NA,NA,NA,NA,32.07865169
10910,Smilax laurifolia,NA,0.3048,NA,NA,0.3048,NA,NA,NA,NA,NA
10911,Smilax maritima,NA,0.3048,NA,NA,0.3048,NA,NA,NA,NA,NA
10912,Smilax melastomifolia,11.4,NA,NA,6.067961165,NA,NA,NA,6.067961165,NA,NA
10913,Smilax mollis,22.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
10914,Smilax purhampuy,NA,NA,NA,14.07928043,NA,NA,NA,NA,NA,14.07928043
10915,Smilax rotundifolia,NA,0.3048,NA,NA,0.3048,NA,NA,NA,NA,NA
10916,Smilax sp,13.73888889,0.478,NA,17.91122691,NA,NA,NA,17.91122691,NA,NA
10917,Smilax walteri,NA,0.3048,NA,NA,0.3048,NA,NA,NA,NA,NA
10918,Smilax zeylanica,21,0.603,NA,23.52941176,NA,NA,NA,23.52941176,23.52941176,NA
10919,Smyrnium olusatrum,NA,0.975,NA,39.6,NA,NA,NA,39.6,NA,NA
10920,Smyrnium perfoliatum,NA,0.725,NA,31.09333333,NA,NA,NA,NA,NA,31.09333333
10921,Socratea exorrhiza,22.25278863,18.14743038,NA,13.65788555,NA,NA,NA,12.89959656,16.59158453,11.48247557
10922,Solanaceae sp,20.89049363,NA,NA,12.15066829,NA,NA,NA,NA,12.15066829,NA
10923,Solanum argenteum,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
10924,Solanum asperum,34.04263973,7.88,NA,25.1562189,NA,NA,NA,25.39010388,NA,24.92233391
10925,Solanum chenopodioides,NA,0.5,NA,31.80005665,NA,NA,NA,NA,NA,31.80005665
10926,Solanum circinatum,32.706734,5.256,NA,22.20621751,NA,NA,NA,23.05231281,NA,21.3601222
10927,Solanum coactiliferum,NA,0.25,NA,7.73018711,NA,NA,NA,NA,7.73018711,7.73018711
10928,Solanum dulcamara,41.5652985,1.891733333,NA,34.73230596,NA,2765.278689,NA,41.72755679,NA,27.73705513
10929,Solanum elaeagnifolium,NA,NA,NA,11.75,NA,NA,NA,NA,NA,11.75
10930,Solanum ellipticum,NA,0.333333333,NA,5.182524555,NA,NA,NA,NA,4.523366074,5.841683037
10931,Solanum esuriale,NA,0.266666667,NA,6.413667487,NA,NA,NA,NA,6.251556649,6.575778325
10932,Solanum ferocissimum,37.8,0.82,NA,9.356925483,NA,NA,NA,NA,8.577246377,10.13660459
10933,Solanum hayesii,28.73234868,12.8275,NA,16.14506422,NA,NA,NA,16.602266,NA,15.68786245
10934,Solanum laciniatum,NA,1.3,NA,20.92896946,NA,NA,NA,NA,NA,20.92896946
10935,Solanum lacunarium,NA,0.1,NA,8.219361702,NA,NA,NA,NA,8.219361702,8.219361702
10936,Solanum lanceifolium,27.37782478,NA,NA,15.63209069,NA,NA,NA,16.93331356,NA,14.33086783
10937,Solanum lasiophyllum,NA,NA,NA,47.37745455,NA,NA,NA,47.37745455,NA,NA
10938,Solanum laxum,NA,0.4,NA,72.73533731,NA,NA,NA,NA,NA,72.73533731
10939,Solanum lycopersicum,NA,1.426266667,NA,NA,0.6096,NA,NA,NA,NA,NA
10940,Solanum mauritianum,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
10941,Solanum melongena,NA,1.2192,NA,13.7,0.6096,NA,NA,NA,13.7,NA
10942,Solanum nigrum,NA,0.7,NA,19.7625,NA,NA,NA,25.225,NA,14.3
10943,Solanum petrophilum,NA,0.05,NA,10.03265075,NA,NA,NA,NA,10.03265075,10.03265075
10944,Solanum physalifolium,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA
10945,Solanum punctulatum,33.9,NA,NA,8.6,NA,NA,NA,NA,8.6,NA
10946,Solanum pungetium,NA,1.5,NA,30.84163428,NA,NA,NA,NA,30.84163428,30.84163428
10947,Solanum quadriloculatum,NA,0.2,NA,6.664025234,NA,NA,NA,NA,7.052033645,6.276016823
10948,Solanum sanctaecatharinae,NA,0.4525,NA,NA,NA,NA,NA,NA,NA,NA
10949,Solanum sp,34.3,0.55,NA,14.47014342,NA,NA,NA,NA,14.47014342,14.47014342
10950,Solanum steyermarkii,40.70364475,4.25,NA,29.07100339,NA,NA,NA,29.63835926,NA,28.50364752
10951,Solanum straminifolia,39.33333333,NA,NA,24.98233333,NA,NA,NA,NA,NA,24.98233333
10952,Solanum triflorum,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA
10953,Solanum tuberosum,NA,0.8,NA,23.71,NA,NA,NA,NA,22.91,24.51
10954,Solanum umbelliferum,31.9,1.9,NA,16.135,NA,NA,NA,16.135,NA,NA
10955,Solanum villosum,NA,0.16,NA,19.64166667,NA,NA,NA,20.04333333,NA,19.24
10956,Soldanella alpina,22.524,0.0835,NA,13.37781399,NA,NA,NA,NA,NA,13.37781399
10957,Soldanella minima,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA
10958,Soldanella montana,NA,0.165,NA,NA,NA,NA,NA,NA,NA,NA
10959,Soldanella pusilla,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA
10960,Soleirolia soleirolii,NA,0.0875,NA,25.25,NA,NA,NA,25.25,NA,NA
10961,Solidago caesia,NA,0.9144,NA,NA,0.2032,NA,NA,NA,NA,NA
10962,Solidago canadensis,15.13338959,1.30146,NA,16.74037034,0.3048,NA,NA,20.80562642,9.78957,19.62591459
10963,Solidago canadensis var. scabriuscula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10964,Solidago chilensis,NA,0.03,NA,12.66592606,NA,NA,NA,NA,NA,12.66592606
10965,Solidago fistulosa,NA,2.01168,NA,NA,0.1524,NA,NA,NA,NA,NA
10966,Solidago flexicaulis,19.2,0.9144,NA,NA,0.2032,NA,NA,NA,NA,NA
10967,Solidago gigantea,12.13475,1.616172,NA,18.06585594,0.4064,NA,NA,20.25,NA,15.88171187
10968,Solidago macrophylla,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
10969,Solidago missouriensis,13.3335,0.9144,NA,10.60804205,0.2032,NA,NA,NA,NA,10.60804205
10970,Solidago multiradiata,NA,0.4572,NA,NA,0.3048,NA,NA,NA,NA,NA
10971,Solidago nemoralis,15.47778333,0.5078,NA,12.76442277,0.3048,NA,NA,16.33300209,NA,9.195843453
10972,Solidago patula,NA,2.01168,NA,NA,0.1524,NA,NA,NA,NA,NA
10973,Solidago rigida,11.83477126,1.264426667,NA,10.3338536,0.3048,NA,NA,8.548508412,NA,12.11919879
10974,Solidago rugosa,19.13660026,1.01832,NA,27.87812702,0.3048,NA,NA,27.87812702,NA,NA
10975,Solidago sciaphila,25.07395,NA,NA,24.55874327,NA,NA,NA,24.55874327,NA,NA
10976,Solidago sempervirens,NA,1.0668,NA,NA,0.3556,NA,NA,NA,NA,NA
10977,Solidago sp,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
10978,Solidago uliginosa var. uliginosa,NA,0.762,NA,NA,0.1524,NA,NA,NA,NA,NA
10979,Solidago virgaurea,28.29400969,0.509,NA,22.51339981,NA,NA,NA,27.86434555,NA,17.16245407
10980,Soliva sessilis,NA,0.026,NA,NA,NA,NA,NA,NA,NA,NA
10981,Solmslaubachia himalayensis,44.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
10982,Sonchus arvensis,NA,1.1875,NA,21,NA,NA,NA,21,NA,NA
10983,Sonchus arvensis var. arvensis,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
10984,Sonchus asper,NA,0.5875,NA,23.44168774,NA,NA,NA,25.74,NA,21.14337548
10985,Sonchus brachyotus,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
10986,Sonchus maritimus,NA,1.05,NA,21.41370191,NA,NA,NA,21.41370191,NA,NA
10987,Sonchus oleraceus,34.9,1.1328125,NA,37.55404122,NA,NA,NA,46.75450387,30.0120048,35.89561498
10988,Sonchus palustris,NA,2.483333333,NA,22.72,NA,NA,NA,NA,NA,22.72
10989,Sonneratia alba,NA,NA,NA,5.440644172,NA,NA,NA,6.7,4.181288344,NA
10990,Sonneratia apetala,NA,NA,NA,1.080606061,NA,NA,NA,NA,1.080606061,NA
10991,Sophora alopecuroides,32.989,NA,NA,NA,NA,NA,NA,NA,NA,NA
10992,Sophora chrysophylla,28.9,12.192,NA,10.47476899,0.6096,NA,NA,NA,12.23990208,8.7096359
10993,Sophora davidii,NA,NA,NA,14.191,NA,NA,NA,NA,14.191,NA
10994,Sophora flavescens,32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
10995,Sophora microphylla,NA,7.883333333,NA,26.41783926,NA,NA,NA,NA,NA,26.41783926
10996,Sophora moorcroftiana,32.815,NA,NA,9.889672829,NA,NA,NA,9.956162947,9.823182711,NA
10997,Sorbaria sorbifolia,NA,1.766666667,NA,24.63054187,NA,NA,NA,24.63054187,NA,NA
10998,Sorbus alnifolia,NA,NA,NA,11.7921593,NA,NA,NA,NA,11.7921593,NA
10999,Sorbus americana,29.55,10.668,NA,NA,0.7112,NA,NA,NA,NA,NA
11000,Sorbus anglica,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA
11001,Sorbus aria,5.881,15.25,NA,17.90641602,NA,NA,NA,19.3475814,10.60833334,23.76333333
11002,Sorbus arranensis,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA
11003,Sorbus aucuparia,22.42468397,12.84846655,NA,17.31445092,0.7112,544.9818182,NA,18.00132475,11.36363636,22.57839165
11004,Sorbus aucuparia subsp. aucuparia,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
11005,Sorbus bristoliensis,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
11006,Sorbus chamaemespilus,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA
11007,Sorbus commixta,NA,NA,NA,13.80189366,NA,NA,NA,NA,13.80189366,NA
11008,Sorbus decora,NA,15.24,NA,NA,0.9144,NA,NA,NA,NA,NA
11009,Sorbus devoniensis,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
11010,Sorbus domestica,NA,15.75,NA,9.9,NA,NA,NA,9.9,NA,NA
11011,Sorbus eminens,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
11012,Sorbus hemsleyi,NA,NA,NA,21.27659574,NA,NA,NA,NA,21.27659574,NA
11013,Sorbus hibernica,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
11014,Sorbus hybrida,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
11015,Sorbus intermedia,NA,11.08333333,NA,15.65738095,NA,NA,NA,11.9047619,NA,19.41
11016,Sorbus lancastriensis,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
11017,Sorbus latifolia,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
11018,Sorbus leptophylla,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
11019,Sorbus leyana,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
11020,Sorbus minima,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
11021,Sorbus mougeotii,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
11022,Sorbus porrigentiformis,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
11023,Sorbus prattii,NA,NA,NA,16.12903226,NA,NA,NA,NA,16.12903226,NA
11024,Sorbus pseudofennica,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
11025,Sorbus rehderiana,NA,NA,NA,21.73913043,NA,NA,NA,NA,21.73913043,NA
11026,Sorbus rupicola,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
11027,Sorbus scopulina,NA,3.393,NA,NA,0.3048,NA,NA,NA,NA,NA
11028,Sorbus sitchensis,20.46666667,15,NA,NA,NA,NA,NA,NA,NA,NA
11029,Sorbus sitchensis var. grayi,NA,4.572,NA,NA,0.4064,NA,NA,NA,NA,NA
11030,Sorbus subcuneata,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
11031,Sorbus thuringiaca_x,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
11032,Sorbus torminalis,NA,16.27777778,NA,27.27777778,NA,NA,NA,36.79333333,11.4,33.64
11033,Sorbus vexans,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
11034,Sorbus wilmottiana,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
11035,Sorghastrum clandenstina,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA
11036,Sorghastrum nutans,11.00766508,1.072796923,NA,19.44340824,0.6096,NA,NA,22.72417391,NA,16.16264257
11037,Sorghum bicolor,22.31875,2.1096,NA,22.81,0.3048,NA,NA,NA,22.81,NA
11038,Sorghum bicolor subsp. bicolor,NA,2.4384,NA,NA,0.3048,NA,NA,NA,NA,NA
11039,Sorghum drummondii_x,20.65833333,0.762,NA,NA,0.2286,NA,NA,NA,NA,NA
11040,Sorghum halepense,22.2,1.3834,NA,17.98889051,0.254,NA,NA,17.86,18.11778102,NA
11041,Sorghum intrans,9.1125,NA,4.825,NA,NA,NA,0.175,NA,NA,NA
11042,Sorghum plumosum,10.05833333,NA,2.516666667,NA,NA,NA,0.4,NA,NA,NA
11043,Sorocea affinis,24.62976933,9.36,NA,20.79182224,NA,NA,NA,21.01903437,NA,20.5646101
11044,Sorocea bonplandii,21.275,5.485546875,NA,9.89239715,NA,NA,NA,9.89239715,NA,NA
11045,Sorocea briquetii,20.68531279,NA,NA,8.895046991,NA,NA,NA,NA,8.895046991,NA
11046,Sorocea guilleminiana,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
11047,Sorocea pileata,24.90453,NA,NA,10.30047614,NA,NA,NA,NA,10.30047614,NA
11048,Sorocea pubivena,24.8980525,11,NA,11.94841722,NA,NA,NA,NA,11.94841722,NA
11049,Sorocea steinbachii,26.00735,7,NA,16.4163493,NA,NA,NA,NA,16.4163493,NA
11050,Souroubea sympetala,15,NA,NA,11.11111111,NA,NA,NA,NA,11.11111111,NA
11051,Soymida febrifuga,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
11052,Spachea membranacea,27.68630794,10.602,NA,20.83248186,NA,NA,NA,21.17174889,NA,20.49321483
11053,Sparganium americanum,NA,0.97536,NA,NA,0.2032,NA,NA,NA,NA,NA
11054,Sparganium angustifolium,23.18009978,0.5125,NA,36.30319966,NA,NA,NA,NA,NA,36.30319966
11055,Sparganium emersum,NA,0.4,NA,34.39291498,NA,NA,NA,28.3,40.48582996,NA
11056,Sparganium erectum,13,0.708333333,24.5,17.65974161,NA,NA,NA,18.17444313,NA,17.1450401
11057,Sparganium erectum subsp. erectum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11058,Sparganium erectum subsp. neglectum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11059,Sparganium eurycarpum,25.5,1.49352,NA,NA,0.3048,NA,NA,NA,NA,NA
11060,Sparganium natans,42.6,0.5125,NA,38.93333333,NA,NA,NA,NA,NA,38.93333333
11061,Spartina alternifolia,13.44,NA,NA,9.780907668,NA,NA,NA,9.780907668,NA,NA
11062,Spartina patens,NA,0.6096,NA,9.970089731,0.254,NA,NA,NA,9.970089731,NA
11063,Spartina pectinata,NA,2.4384,NA,NA,0.4572,NA,NA,NA,NA,NA
11064,Spartina townsendii_x,NA,0.6,NA,8.956666667,NA,NA,NA,NA,NA,8.956666667
11065,Spatalla parilis,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
11066,Spathiphyllum sp,NA,NA,NA,22.05209721,NA,NA,NA,22.05209721,NA,NA
11067,Spathodea campanulata,22.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
11068,Spergula arvensis,NA,0.333333333,NA,14.10105409,NA,NA,NA,15.6947768,NA,12.50733138
11069,Spergula grandis,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
11070,Spergula morisonii,NA,0.2,NA,11.6,NA,NA,NA,NA,NA,11.6
11071,Spergula pentandra,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA
11072,Spergularia echinosperma,NA,0.06,NA,27.35333333,NA,NA,NA,NA,NA,27.35333333
11073,Spergularia media,NA,0.3375,NA,29.37833333,NA,NA,NA,NA,NA,29.37833333
11074,Spergularia ramosa,NA,NA,NA,9.222507564,NA,NA,NA,NA,NA,9.222507564
11075,Spergularia rubra,NA,0.153333333,NA,18.2950041,NA,NA,NA,18.2950041,NA,NA
11076,Spergularia rupicola,NA,0.075,NA,18.4,NA,NA,NA,18.4,NA,NA
11077,Spergularia salina,NA,0.145,NA,16.37419048,NA,NA,NA,15.82085714,NA,16.92752381
11078,Spergularia segetalis,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA
11079,Spermacoce capitata,NA,0.255,NA,NA,NA,NA,NA,NA,NA,NA
11080,Spermacoce verticillata,NA,0.177879546,NA,15.0614139,NA,NA,NA,NA,NA,15.0614139
11081,Sphaeralcea ambigua,NA,1.524,NA,NA,0.3048,NA,NA,NA,NA,NA
11082,Sphaeralcea coccinea,NA,0.4572,NA,NA,0.1524,NA,NA,NA,NA,NA
11083,Sphaeralcea grossulariifolia,NA,0.6096,NA,NA,0.3048,NA,NA,NA,NA,NA
11084,Sphaeralcea munroana,NA,0.762,NA,NA,0.4064,NA,NA,NA,NA,NA
11085,Sphagnum balticum,8.9,0.05,NA,NA,0.05,NA,NA,NA,NA,NA
11086,Sphenopholis obtusata,NA,0.97536,NA,NA,0.1016,NA,NA,NA,NA,NA
11087,Sphenostemon papuanum,10.525,NA,NA,NA,NA,NA,NA,NA,NA,NA
11088,Spinacia oleracea,NA,0.4125,NA,32.18333333,NA,NA,NA,NA,NA,32.18333333
11089,Spiraea alba,19.23333333,1.4572,NA,12.31049505,0.3048,NA,NA,12.31830239,NA,12.30268771
11090,Spiraea alpina,22.4,NA,NA,15.71216381,NA,NA,NA,16.20362748,15.22070015,NA
11091,Spiraea aquilegiifolia,21.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
11092,Spiraea beauverdiana,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
11093,Spiraea betulifolia,NA,0.9144,NA,NA,0.3556,NA,NA,NA,NA,NA
11094,Spiraea billardii_x,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA
11095,Spiraea chamaedrifolia,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
11096,Spiraea chamaedryfolia,15.8,2,NA,NA,NA,NA,NA,NA,NA,NA
11097,Spiraea dasyantha,10.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
11098,Spiraea douglasii,NA,1.8168,NA,NA,0.4064,NA,NA,NA,NA,NA
11099,Spiraea hypericifolia,NA,NA,NA,14.3,NA,NA,NA,14.3,NA,NA
11100,Spiraea japonica,NA,0.6096,NA,NA,0.3556,NA,NA,NA,NA,NA
11101,Spiraea latifolia,15.41798329,0.8895,NA,14.82231277,NA,NA,NA,14.82231277,NA,NA
11102,Spiraea media,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA
11103,Spiraea mongolica,26.18,NA,NA,14.08649134,NA,NA,NA,14.08847563,14.08450704,NA
11104,Spiraea prunifolia,NA,2.1336,NA,NA,0.4572,NA,NA,NA,NA,NA
11105,Spiraea pubescens,17.55,NA,NA,18.5755,NA,NA,NA,NA,18.5755,NA
11106,Spiraea salicifolia,NA,1.75,NA,19.68666667,NA,NA,NA,NA,NA,19.68666667
11107,Spiraea tomentosa,19.73333333,1.3596,NA,14.85275825,0.3556,NA,NA,16.52294912,NA,13.18256739
11108,Spiraea trilobata,NA,1.2192,NA,NA,0.3556,NA,NA,NA,NA,NA
11109,Spiranthes aestivalis,NA,0.2625,NA,NA,NA,NA,NA,NA,NA,NA
11110,Spiranthes cernua,NA,0.4572,NA,NA,0.2032,NA,NA,NA,NA,NA
11111,Spiranthes romanzoffiana,NA,0.762,NA,NA,0.2032,NA,NA,NA,NA,NA
11112,Spiranthes spiralis,NA,0.1425,NA,NA,NA,NA,NA,NA,NA,NA
11113,Spirodela polyrrhiza,NA,0.00875,NA,48.46204698,NA,NA,NA,29.81,67.11409396,NA
11114,Spirostachys africana,19.88454863,6.195833333,NA,13.75136388,NA,NA,NA,NA,13.75136388,NA
